"","Kod","Panstwo","PKB","Populacja","Przyrost_populacji","Region","Urbanizacja_proc.","Internet_proc.","Populacja_mln","PKB_per_capita"
"17","BGR","Bulgaria",53237882473,7127822,-0.7,"Europe and Central Asia",74.266,90,7.127822,7469.02524684258
"18","BHR","Bahrain",32179069149,1425171,3.81,"Middle East and North Africa",88.835,86.52,1.425171,22579.0934203685
"19","BHS","Bahamas, The",11261800000,391232,1.13,"Latin America and Caribbean",82.951,5.17,0.391232,28785.4776705382
"20","BIH","Bosnia and Herzegovina",16910277134,3516816,-0.54,"Europe and Central Asia",39.94,44.58,3.516816,4808.40542524829
"21","BLR","Belarus",47407217531,9507120,0.18,"Europe and Central Asia",77.046,18.25,9.50712,4986.49617665497
"22","BLZ","Belize",1741100000,366954,2.11,"Latin America and Caribbean",43.845,98,0.366954,4744.73639747761
"23","BOL","Bolivia",33806395514,10887882,1.51,"Latin America and Caribbean",68.911,71.11,10.887882,3104.95608916408
"24","BRA","Brazil",1.8e+12,207652865,0.82,"Latin America and Caribbean",85.933,60.87,207.652865,8668.31285954085
"25","BRB","Barbados",4529050000,284996,0.27,"Latin America and Caribbean",31.415,13.96,0.284996,15891.6265491446
"26","BRN","Brunei Darussalam",11400653732,423196,1.35,"East Asia and Pacific",77.505,79.55,0.423196,26939.4175086721
"27","BTN","Bhutan",2212638830,797765,1.31,"South Asia",39.377,54.74,0.797765,2773.54713480787
"28","BWA","Botswana",15581137274,2250260,1.84,"Sub-Saharan Africa",57.71,39.7,2.25026,6924.14977558149
"29","CAF","Central African Republic",1756124677,4594621,1.06,"Sub-Saharan Africa",40.332,26.53,4.594621,382.213174274875
"30","CAN","Canada",1.53e+12,36286425,1.21,"North America",82.006,53.2,36.286425,42164.5284703577
"31","CHE","Switzerland",6.69e+11,8372098,1.08,"Europe and Central Asia",73.99,11.31,8.372098,79908.2858322968
"32","CHL","Chile",2.47e+11,17909754,0.82,"Latin America and Caribbean",89.697,6.21,17.909754,13791.3675419551
"33","CHN","China",1.12e+13,1378665000,0.54,"East Asia and Pacific",56.778,8.12,1378.665,8123.80092335702
"34","CIV","Cote d'Ivoire",36372613023,23695919,2.51,"Sub-Saharan Africa",54.869,4,23.695919,1534.97372366102
"35","CMR","Cameroon",32217497470,23439189,2.61,"Sub-Saharan Africa",54.938,66.01,23.439189,1374.51417239735
"36","COD","Congo, Dem. Rep.",31930856402,78736153,3.28,"Sub-Saharan Africa",43.015,50.32,78.736153,405.542500939816
"37","COG","Congo, Rep.",7833508879,5125821,2.57,"Sub-Saharan Africa",65.798,66.03,5.125821,1528.24472001656
"38","COL","Colombia",2.82e+11,48653419,0.88,"Latin America and Caribbean",76.708,58.14,48.653419,5796.09831736594
"39","COM","Comoros",616654490,795601,2.31,"Sub-Saharan Africa",28.412,7.94,0.795601,775.080084112514
"40","CPV","Cabo Verde",1617467436,539560,1.24,"Sub-Saharan Africa",66.187,89.84,0.53956,2997.75267996145
"41","CRI","Costa Rica",57435507212,4857274,1.02,"Latin America and Caribbean",77.675,75.9,4.857274,11824.6381019477
"42","CYP","Cyprus",20047013274,1170125,0.78,"Europe and Central Asia",66.84,89.65,1.170125,17132.368998184
"43","CZE","Czech Republic",1.95e+11,10561633,0.15,"Europe and Central Asia",72.98,67.03,10.561633,18463.0539614471
"44","DEU","Germany",3.48e+12,82667685,1.19,"Europe and Central Asia",75.51,34.67,82.667685,42096.2556287865
"45","DMA","Dominica",581484032,73543,0.52,"Latin America and Caribbean",69.82,61.33,0.073543,7906.72167303482
"46","DNK","Denmark",3.07e+11,5731118,0.83,"Europe and Central Asia",87.847,96.97,5.731118,53567.209748604
"47","DOM","Dominican Republic",71583553488,10648791,1.14,"Latin America and Caribbean",79.841,42.95,10.648791,6722.22353579857
"48","DZA","Algeria",1.59e+11,40606052,1.83,"Middle East and North Africa",71.304,66.36,40.606052,3915.67247167984
"49","ECU","Ecuador",98613972000,16385068,1.48,"Latin America and Caribbean",63.976,54.06,16.385068,6018.52686848782
"50","EGY","Egypt, Arab Rep.",3.33e+11,95688681,2.02,"Middle East and North Africa",43.222,41.25,95.688681,3480.03542864176
"51","ESP","Spain",1.24e+12,46443959,-0.01,"Europe and Central Asia",79.802,67.06,46.443959,26698.8436537032
"52","EST","Estonia",23337907619,1316481,0.08,"Europe and Central Asia",67.468,15.37,1.316481,17727.4929292561
"53","ETH","Ethiopia",72374224249,102403196,2.5,"Sub-Saharan Africa",19.922,87.7,102.403196,706.757475118257
"54","FIN","Finland",2.39e+11,5495096,0.28,"Europe and Central Asia",84.358,85.62,5.495096,43493.3256853019
"55","FJI","Fiji",4703632978,898760,0.74,"East Asia and Pacific",54.099,46.51,0.89876,5233.46942231519
"56","FRA","France",2.47e+12,66896109,0.41,"Europe and Central Asia",79.75,33.35,66.896109,36922.9247698099
"57","FSM","Micronesia, Fed. Sts.",329895600,104937,0.48,"East Asia and Pacific",22.481,72.16,0.104937,3143.74910660682
"58","GAB","Gabon",14213558130,1979786,2.54,"Sub-Saharan Africa",87.366,48.05,1.979786,7179.34066106135
"59","GBR","United Kingdom",2.65e+12,65637239,0.78,"Europe and Central Asia",82.835,46.79,65.637239,40373.4227760555
"60","GEO","Georgia",14378016729,3719300,0.06,"Europe and Central Asia",53.826,58.01,3.7193,3865.78569327562
"61","GHA","Ghana",42689783734,28206728,2.24,"Sub-Saharan Africa",54.682,9.8,28.206728,1513.46103433195
"62","GIN","Guinea",8200248003,12395924,2.49,"Sub-Saharan Africa",37.651,55.86,12.395924,661.52777340358
"63","GMB","Gambia, The",964599178,2038501,3.03,"Sub-Saharan Africa",60.224,94.78,2.038501,473.190436502116
"64","GNB","Guinea-Bissau",1164944510,1815698,2.52,"Sub-Saharan Africa",50.094,34.51,1.815698,641.595964747441
"65","GNQ","Equatorial Guinea",10684804794,1221490,3.85,"Sub-Saharan Africa",40.103,87.24,1.22149,8747.35347321714
"66","GRC","Greece",1.93e+11,10746740,-0.69,"Europe and Central Asia",78.329,18.5,10.74674,17958.9345233997
"67","GRD","Grenada",1056188593,107317,0.46,"Latin America and Caribbean",35.616,3.76,0.107317,9841.76405415731
"68","GTM","Guatemala",68763255964,16582469,2.01,"Latin America and Caribbean",52.03,69.09,16.582469,4146.74412863368
"69","GUM","Guam",5.793e+09,162896,0.68,"East Asia and Pacific",94.593,23.78,0.162896,35562.5675277478
"70","GUY","Guyana",3502397094,773303,0.62,"Latin America and Caribbean",28.661,77.01,0.773303,4529.13941107173
"71","HKG","Hong Kong SAR, China",3.21e+11,7346700,0.56,"East Asia and Pacific",100,30,7.3467,43693.0866919842
"72","HND","Honduras",21516938910,9112867,1.68,"Latin America and Caribbean",55.315,87.48,9.112867,2361.16020457667
"73","HRV","Croatia",50714957391,4170600,-0.79,"Europe and Central Asia",59.284,76.48,4.1706,12160.1106294058
"74","HTI","Haiti",8022638722,10847334,1.26,"Latin America and Caribbean",59.794,35.66,10.847334,739.595436261113
"75","HUN","Hungary",1.26e+11,9817958,-0.26,"Europe and Central Asia",71.672,72.7,9.817958,12833.6258924717
"76","IDN","Indonesia",9.32e+11,261115456,1.14,"East Asia and Pacific",54.466,25.37,261.115456,3569.30230893724
"77","IND","India",2.26e+12,1324171354,1.15,"South Asia",33.136,79.26,1324.171354,1706.72775330254
"78","IRL","Ireland",3.05e+11,4773095,2.04,"Europe and Central Asia",63.535,53.23,4.773095,63899.8385743422
"79","IRN","Iran, Islamic Rep.",4.19e+11,80277428,1.15,"Middle East and North Africa",73.879,29.55,80.277428,5219.39990404277
"80","IRQ","Iraq",1.71e+11,37202572,2.97,"Middle East and North Africa",69.592,85.01,37.202572,4596.45639554168
"81","ISL","Iceland",20047413006,334252,1.03,"Europe and Central Asia",94.23,12.23,0.334252,59976.9425642928
"82","ISR","Israel",3.18e+11,8547100,1.97,"Middle East and North Africa",92.205,21.23,8.5471,37205.6019000597
"83","ITA","Italy",1.86e+12,60600590,-0.21,"Europe and Central Asia",69.116,98.24,60.60059,30692.7704829276
"84","JAM","Jamaica",14056908749,2881355,0.33,"Latin America and Caribbean",55.03,79.65,2.881355,4878.57579125099
"85","JOR","Jordan",38654727746,9455802,3.19,"Middle East and North Africa",83.905,45,9.455802,4087.93751666966
"86","JPN","Japan",4.94e+12,126994511,-0.12,"East Asia and Pacific",93.928,61.32,126.994511,38899.3190422222
"87","KAZ","Kazakhstan",1.37e+11,17797032,1.43,"Europe and Central Asia",53.229,62.3,17.797032,7697.91277556842
"88","KEN","Kenya",70529014778,48461567,2.56,"Sub-Saharan Africa",26.055,93.18,48.461567,1455.35976535798
"89","KGZ","Kyrgyz Republic",6551287938,6082700,2.09,"Europe and Central Asia",35.85,13.7,6.0827,1077.03617439624
"90","KHM","Cambodia",20016747754,15762370,1.56,"East Asia and Pacific",20.945,89.13,15.76237,1269.90723818817
"91","KIR","Kiribati",181551485,114395,1.75,"East Asia and Pacific",44.447,74.59,0.114395,1587.05786966214
"92","KNA","St. Kitts and Nevis",909854620,54821,0.98,"Latin America and Caribbean",32.153,45.4,0.054821,16596.8263986429
"93","KOR","Korea, Rep.",1.41e+12,51245707,0.45,"East Asia and Pacific",82.592,26,51.245707,27514.4998975231
"94","KWT","Kuwait",1.11e+11,4052584,2.92,"Middle East and North Africa",98.358,32.4,4.052584,27389.9319545258
"95","LAO","Lao PDR",15805707154,6758353,1.41,"East Asia and Pacific",39.654,76.82,6.758353,2338.69215680211
"96","LBN","Lebanon",49598825982,6006668,2.62,"Middle East and North Africa",87.914,78.37,6.006668,8257.29439050069
"97","LBR","Liberia",2.101e+09,4613823,2.51,"Sub-Saharan Africa",50.1,76.11,4.613823,455.370741357005
"98","LCA","St. Lucia",1667078704,178015,0.46,"Latin America and Caribbean",18.54,80.48,0.178015,9364.82152627587
"99","LKA","Sri Lanka",81321876307,21203000,1.12,"South Asia",18.407,28,21.203,3835.39481710135
"100","LSO","Lesotho",2291321667,2203821,1.33,"Sub-Saharan Africa",27.84,21.87,2.203821,1039.70407170092
"101","LTU","Lithuania",42738875963,2872298,-1.13,"Europe and Central Asia",66.512,7.32,2.872298,14879.6802988409
"102","LUX","Luxembourg",58631324559,582972,2.32,"Europe and Central Asia",90.432,46.73,0.582972,100573.139977563
"103","LVA","Latvia",27572698482,1960424,-0.87,"Europe and Central Asia",67.361,92.84,1.960424,14064.660747879
"104","MAC","Macao SAR, China",45310877913,612167,1.85,"East Asia and Pacific",100,32.05,0.612167,74017.1847110347
"105","MAR","Morocco",1.04e+11,35276786,1.35,"Middle East and North Africa",60.685,69.88,35.276786,2948.11437753995
"106","MDA","Moldova",6749515655,3552000,-0.06,"Europe and Central Asia",45.089,11.11,3.552,1900.2014794482
"107","MDG","Madagascar",10001193420,24894551,2.69,"Sub-Saharan Africa",35.741,74.38,24.894551,401.742269623581
"108","MDV","Maldives",4224209599,417492,2.02,"South Asia",46.54,81.64,0.417492,10118.0611820107
"109","MEX","Mexico",1.05e+12,127540423,1.3,"Latin America and Caribbean",79.517,29.79,127.540423,8232.68400168314
"110","MHL","Marshall Islands",194497900,53066,0.14,"East Asia and Pacific",72.94,4.71,0.053066,3665.20747748087
"111","MKD","Macedonia, FYR",10899583155,2081206,0.09,"Europe and Central Asia",57.204,27.36,2.081206,5237.14767062943
"112","MLI","Mali",14034980334,17994837,2.97,"Sub-Saharan Africa",40.683,58.27,17.994837,779.944843846043
"113","MLT","Malta",10999047580,436947,1.17,"Middle East and North Africa",95.529,71,0.436947,25172.498220608
"114","MMR","Myanmar",63225097051,52885223,0.91,"East Asia and Pacific",34.65,50,52.885223,1195.51537205393
"115","MNE","Montenegro",4374127212,622781,0.1,"Europe and Central Asia",64.223,25.07,0.622781,7023.53991531534
"116","MNG","Mongolia",11183458131,3027398,1.68,"East Asia and Pacific",72.823,77.29,3.027398,3694.08255240969
"117","MNP","Northern Mariana Islands",1.242e+09,55023,0.38,"East Asia and Pacific",89.209,24.57,0.055023,22572.3788234011
"118","MOZ","Mozambique",11014858592,28829476,2.88,"Sub-Saharan Africa",32.508,22.27,28.829476,382.069330431118
"119","MRT","Mauritania",4739298730,4301018,2.8,"Sub-Saharan Africa",60.446,59.09,4.301018,1101.90162654516
"120","MUS","Mauritius",12168437744,1263473,0.07,"Sub-Saharan Africa",39.548,59.54,1.263473,9630.94402808766
"121","MWI","Malawi",5433038647,18091575,2.9,"Sub-Saharan Africa",16.454,98.14,18.091575,300.307665142477
"122","MYS","Malaysia",2.97e+11,31187265,1.5,"East Asia and Pacific",75.37,79.84,31.187265,9523.11784954532
"123","NAM","Namibia",10947880690,2479713,2.21,"Sub-Saharan Africa",47.625,17.52,2.479713,4414.97894716042
"124","NGA","Nigeria",4.05e+11,185989640,2.62,"Sub-Saharan Africa",48.597,25.67,185.98964,2177.540641511
"125","NIC","Nicaragua",13230844687,6149928,1.11,"Latin America and Caribbean",59.107,31.03,6.149928,2151.38204658656
"126","NLD","Netherlands",7.77e+11,17018408,0.46,"Europe and Central Asia",91.032,9.61,17.018408,45656.4444805883
"127","NOR","Norway",3.71e+11,5232929,0.85,"Europe and Central Asia",80.734,90.41,5.232929,70897.1973439731
"128","NPL","Nepal",21131983246,28982771,1.13,"South Asia",18.995,52.19,28.982771,729.122251492102
"129","NRU","Nauru",102060130,13049,4.5,"East Asia and Pacific",100,18,0.013049,7821.29895011112
"130","NZL","New Zealand",1.85e+11,4692700,2.09,"East Asia and Pacific",86.322,78.79,4.6927,39422.9334924457
"131","OMN","Oman",66293368010,4424762,5.22,"Middle East and North Africa",78.088,97.3,4.424762,14982.3579234318
"132","PAK","Pakistan",2.79e+11,193203476,2,"South Asia",39.224,19.69,193.203476,1444.07339752003
"133","PAN","Panama",55187700000,4034119,1.62,"Latin America and Caribbean",66.895,88.47,4.034119,13680.23600692
"134","PER","Peru",1.92e+11,31773839,1.26,"Latin America and Caribbean",78.924,54,31.773839,6042.70702070342
"135","PHL","Philippines",3.05e+11,103320222,1.56,"East Asia and Pacific",44.289,45.46,103.320222,2951.98746282214
"136","PLW","Palau",310248300,21503,1,"East Asia and Pacific",87.636,NA,0.021503,14428.1402594987
"137","PNG","Papua New Guinea",20213214172,8084991,2.06,"East Asia and Pacific",13.039,69.93,8.084991,2500.09111599506
"138","POL","Poland",4.71e+11,37948016,-0.1,"Europe and Central Asia",60.531,55.5,37.948016,12411.7160696886
"139","PRT","Portugal",2.05e+11,10324611,-0.32,"Europe and Central Asia",64.017,NA,10.324611,19855.4696152717
"140","PRY","Paraguay",27424071383,6725308,1.29,"Latin America and Caribbean",59.924,15.51,6.725308,4077.74207263073
"141","PSE","West Bank and Gaza",13397100000,4551566,2.88,"Middle East and North Africa",75.481,24.58,4.551566,2943.4045337363
"142","QAT","Qatar",1.52e+11,2569804,3.5,"Middle East and North Africa",99.317,9.6,2.569804,59148.479806242
"143","ROU","Romania",1.88e+11,19705301,-0.56,"Europe and Central Asia",54.749,73.3,19.705301,9540.57996881144
"144","RUS","Russian Federation",1.28e+12,144342396,0.17,"Europe and Central Asia",74.101,70.42,144.342396,8867.80346919002
"145","RWA","Rwanda",8376048905,11917508,2.45,"Sub-Saharan Africa",29.775,51.35,11.917508,702.835601620741
"146","SAU","Saudi Arabia",6.46e+11,32275687,2.25,"Middle East and North Africa",83.331,73.09,32.275687,20015.0658295825
"147","SDN","Sudan",95584380032,39578828,2.38,"Sub-Saharan Africa",34.007,89.65,39.578828,2415.03816212041
"148","SEN","Senegal",14683697631,15411614,2.86,"Sub-Saharan Africa",44.065,20,15.411614,952.768323356658
"149","SGP","Singapore",2.97e+11,5607283,1.3,"East Asia and Pacific",100,81,5.607283,52966.8290328846
"150","SLB","Solomon Islands",1202125000,599419,2.01,"East Asia and Pacific",22.779,29,0.599419,2005.48364332796
"151","SLE","Sierra Leone",3736588554,7396190,2.18,"Sub-Saharan Africa",40.318,25.66,7.39619,505.204511241599
"152","SLV","El Salvador",26797470000,6344722,0.51,"Latin America and Caribbean",67.189,80.56,6.344722,4223.58457943469
"153","SMR","San Marino",1590707965,33203,0.73,"Europe and Central Asia",94.216,59.5,0.033203,47908.5614251724
"154","SOM","Somalia",6.217e+09,14317996,2.9,"Sub-Saharan Africa",40.03,NA,14.317996,434.208809668616
"155","SRB","Serbia",38299854688,7057412,-0.54,"Europe and Central Asia",55.668,73.75,7.057412,5426.8979461593
"156","STP","Sao Tome and Principe",342781716,199910,2.2,"Sub-Saharan Africa",65.647,61.18,0.19991,1714.68018608374
"157","SUR","Suriname",3278425328,558368,0.93,"Latin America and Caribbean",66.015,28.57,0.558368,5871.44200240702
"158","SVK","Slovak Republic",89768598023,5428704,0.09,"Europe and Central Asia",53.468,11,5.428704,16535.9168639513
"159","SVN","Slovenia",44708598649,2064845,0.06,"Europe and Central Asia",49.627,11.77,2.064845,21652.2783303347
"160","SWE","Sweden",5.14e+11,9903122,1.06,"Europe and Central Asia",85.964,5,9.903122,51902.8241800919
"161","SWZ","Swaziland",3720649375,1343098,1.81,"Sub-Saharan Africa",21.315,56.51,1.343098,2770.19947539197
"162","SYC","Seychelles",1427323889,94677,1.34,"Sub-Saharan Africa",54.214,28,0.094677,15075.7194355546
"163","TCD","Chad",9600761474,14452543,3.11,"Sub-Saharan Africa",22.618,25,14.452543,664.295651913992
"164","TGO","Togo",4399995987,7606374,2.52,"Sub-Saharan Africa",40.463,39.95,7.606374,578.461693705831
"165","THA","Thailand",4.07e+11,68863514,0.3,"East Asia and Pacific",51.54,17.99,68.863514,5910.24152499682
"166","TJK","Tajikistan",6951657159,8734951,2.16,"Europe and Central Asia",26.891,47.5,8.734951,795.843864378861
"167","TKM","Turkmenistan",36179885714,5662544,1.73,"Europe and Central Asia",50.396,13,5.662544,6389.33414274573
"168","TLS","Timor-Leste",1782974000,1268671,2.21,"East Asia and Pacific",33.401,25.25,1.268671,1405.3872122875
"169","TON","Tonga",401562006,107122,0.71,"East Asia and Pacific",23.801,73.3,0.107122,3748.6417916021
"170","TTO","Trinidad and Tobago",21894706041,1364962,0.36,"Latin America and Caribbean",8.352,49.6,1.364962,16040.5242351069
"171","TUN","Tunisia",42062549395,11403248,1.14,"Middle East and North Africa",67.047,58.35,11.403248,3688.64637469956
"172","TUR","Turkey",8.64e+11,79512426,1.57,"Europe and Central Asia",73.887,46.01,79.512426,10866.2261166575
"173","TUV","Tuvalu",34218878,11097,0.87,"East Asia and Pacific",60.62,21.88,0.011097,3083.61521131837
"174","TZA","Tanzania",47340071107,55572201,3.09,"Sub-Saharan Africa",32.316,20.47,55.572201,851.866045525172
"175","UGA","Uganda",24078931933,41487965,3.29,"Sub-Saharan Africa",16.444,52.48,41.487965,580.383538527378
"176","UKR","Ukraine",93270479389,45004645,-0.33,"Europe and Central Asia",69.915,66.4,45.004645,2072.4633954784
"177","URY","Uruguay",52419720714,3444006,0.36,"Latin America and Caribbean",95.46,46.5,3.444006,15220.5660251463
"178","USA","United States",1.86e+13,323127513,0.69,"North America",81.788,55.57,323.127513,57562.4149962123
"179","UZB","Uzbekistan",67220335570,31848200,1.74,"Europe and Central Asia",36.479,24,31.8482,2110.64787240723
"180","VCT","St. Vincent and the Grenadines",768224227,109643,0.17,"Latin America and Caribbean",50.899,75.5,0.109643,7006.59619857173
"181","VNM","Vietnam",2.05e+11,92701100,1.07,"East Asia and Pacific",34.236,NA,92.7011,2211.40849461333
"182","VUT","Vanuatu",773502896,270402,2.17,"East Asia and Pacific",26.441,29.41,0.270402,2860.56647510004
"183","WSM","Samoa",786356315,195125,0.7,"East Asia and Pacific",18.955,94.29,0.195125,4030.0131454196
"184","XKX","Kosovo",6649888889,1816200,0.8,"Europe and Central Asia",85.43,34.5,1.8162,3661.42984748376
"185","YEM","Yemen, Rep.",27317605346,27584213,2.45,"Middle East and North Africa",35.187,54,27.584213,990.334773952043
"186","ZAF","South Africa",2.95e+11,55908865,1.62,"Sub-Saharan Africa",65.295,1.88,55.908865,5276.44408449358
"187","ZMB","Zambia",21063989683,16591390,3,"Sub-Saharan Africa",41.379,25.51,16.59139,1269.57353681638
"188","ZWE","Zimbabwe",16619960402,16150362,2.34,"Sub-Saharan Africa",32.277,23.12,16.150362,1029.07664868441
